user_id,destination_id,destination_name,rating
0.0,1.0,Phewa Tal (Fewa Lake),5.0
0.0,2.0,Sarangkot,5.0
0.0,3.0,Swayambhunath Temple,5.0
0.0,4.0,Poon Hill,5.0
0.0,5.0,Peace Temple,5.0
0.0,6.0,Pashupatinath Temple,5.0
0.0,7.0,Durbar (Central) Square,5.0
0.0,8.0,Chandragiri Hills,5.0
0.0,9.0,Mount Everest,4.0
0.0,10.0,Begnas Lake,5.0
0.0,44.0,Budhanilkantha,4.0
0.0,55.0,Bat Cave,4.0
0.0,97.0,Khumbu Glacier,5.0
0.0,119.0,Nyatapola Temple,5.0
0.0,124.0,Nagarkot to Dhulikhel Hiking,4.0
0.0,130.0,MidTown Galleria,
0.0,134.0,Sauraha Tharu Culture House,
0.0,153.0,Templo de Changu Narayan,
0.0,154.0,Sauraha Art Gallery,
0.0,185.0,Freak Street (Jhhonchen Tole),3.0
0.0,190.0,Banepa Chnadeshwori Temple,4.0
0.0,197.0,Kalika Bhagwati Temple,4.0
0.0,207.0,Shey Phoksundo National Park,5.0
0.0,209.0,Ghadiarwa Pokhari,
0.0,237.0,Nara Devi Temple,
0.0,246.0,Kakre Bihar Temple,
0.0,247.0,Shashwat Dham,4.0
0.0,256.0,himalayan arts gallery pltd,
0.0,295.0,Mother Temple of the Graduated Path to Enlightenment,
1.0,1.0,Phewa Tal (Fewa Lake),5.0
1.0,2.0,Sarangkot,4.0
1.0,3.0,Swayambhunath Temple,5.0
1.0,4.0,Poon Hill,4.0
1.0,5.0,Peace Temple,5.0
1.0,6.0,Pashupatinath Temple,5.0
1.0,7.0,Durbar (Central) Square,5.0
1.0,8.0,Chandragiri Hills,4.0
1.0,9.0,Mount Everest,4.0
1.0,10.0,Begnas Lake,4.0
1.0,77.0,Tatopani Hot Spring,3.0
1.0,121.0,Sun Kosi,
1.0,154.0,Sauraha Art Gallery,5.0
1.0,156.0,Pindeshwor Temple,
1.0,165.0,Shechen Monastery,
1.0,178.0,Seto Machindranath Temple,4.0
1.0,187.0,Eternal Peace Flame,3.0
1.0,193.0,Shukla Phanta National Park,4.0
1.0,223.0,Dhaulagiri of Nepal,4.0
1.0,229.0,Maru Ganesh Shrine,
1.0,232.0,Ratna Park,3.0
1.0,236.0,Thahiti Chowk,
1.0,262.0,Woodcraft Gallery,
